COD,PRODUTO,UNIDADE DE MEDIDA,PREÇO,QUANTIDADE
1,Feijão,Pacote,"R$ 6.2",8
2,Arroz,Pacote,"R$ 3.4",2
3,Fubá,Pacote,"R$ 2.9",2
4,Milho Verde,Lata,"R$ 1.3",2
5,Ervilha,Lata,"R$ 1.3",3
6,Farinha,Pacote,"R$ 2.8",2
7,Tomate,Quilo,"R$ 2.25",2
8,Laranja,Quilo,"R$ 3.5",2
9,Limão,Quilo,"R$ 3.5",2
10,Macaxeira,Quilo,"R$ 4.5",2
11,Pimentão,Quilo,"R$ 3.3",2
12,Queijo,Quilo,"R$ 28",2
13,Presunto,Quilo,"R$ 14",2
14,Carne,Quilo,"R$ 24.92",2
15,Salsicha,Quilo,"R$ 8.49",2
16,Peixe,Quilo,"R$ 12.45",3
17,Margarina,Lata,"R$ 2.99",2
